,progress_10_years_tr
5926,"The list of prohibited professions will be reduced, a woman will have the right to an abortion. For starters, at least that'`s it. "
5927,
5928,Equal opportunities
5929,
5930,Freedom
5931,
5932,Protection and justice. Gender doesn'`t matter. Protected for all
5933,
5934,
5935,A great achievement.
5936,"Freedom of speech n freely participating in politics, I see women empowered to take on any role"
5937,I will be able to work on the rpana with men and receive an equal salary. Introduce a law on sexual violence
5938,
5939,
5940,Woman President
5941,
5942,
5943,"In Russia - no way. Things will only get worse because at the sociocultural level, women are seen as weak beings who can be abused, and on the political level, laws to decriminalize violence are widely supported. In the workplace, women are still neglected, especially young ones, who do not want to be hired because they ""will go on maternity leave."""
5944,"Without fear - at home, at work, on the street. "
5945,
5946,Full equality
5947,Flawed
5948,Not much better than it does today!
5949,"All black or white women, indigenous.... have the right to respect "
5950,"Having a violence free,empowered and well respected."
5951,having health care and birth control redily available to me and having the violence against women statistics go down.
5952,
5953,Freedomdom 
5954,
5955,With such a mentality - no way 
5956,
5957,
5958,"The absence of any violence anywhere: in the family, at work, on the street and at the doctors. Equal wages, access to reproductive health information, and access to contraceptive and abortion methods, accessible environment for persons with disabilities, equal opportunities at work and school, absence of sexism and reproductive violence"
5959,The right to move through spaces safely and freely 
5960,"The ability to do sterilization (tubal ligation) at any age from 21 years / 18 years without the condition of at least three children born. Adoption of the law on domestic violence, which is not in the Russian Federation now. The abolition of the law on libel, according to which the rape victim now has an arrest for 8 years and a fine of up to 4500,000 rubles. (That'`s more than the rapist gets!!!).) Opportunity to emigrate from Russia. I would also like the absence of pressure in society - ""This is all because there is no man!"", ""Did not give birth - not a woman"" and the like, but I understand that this requires more than ten years and very active propaganda. After all, stereotypes in the minds of society are very persistent. "
5961,
5962,
5963,
5964,
5965,#NAME?
5966,
5967,
5968,
5969,
5970,Everything will remain as it is now 
5971,
5972,
5973,
5974,
5975,"Ending abuse at home, establishing safe houses for abuse victims. "
5976,A lot of progress
5977,
5978,I expect that society will stop interfering in the reproductive life of women.
5979,"Women will not be afraid to take to the streets in the evening/alone, to be subjected to sexual and other violence. No gender stereotypes, reproductive freedom. "
5980,
5981,
5982,
5983,I find it difficult to answer
5984,"Elimination of female circumcision, more access to paid maternity leave and affordable childcare, education for girls globally must be a priority."
5985,
5986,
5987,
5988,The presence of state protection in case of domestic violence
5989,
5990,
5991,Freedom to live without fear of being abused physically and psychologically.
5992,
5993,
5994,
5995,"Without fear, it will be possible to leave the house in the evening, there will be no conviction for abortions or vice versa the number of children, etc."
5996,Reducing gender discrimination 
5997,
5998,
5999,
6000,
6001,
6002,I think that everything will be much better and more progressive. 
6003,
6004,
6005,
6006,
6007,Women should be equal
6008,
6009,
6010,
6011,Very progressive of fire brand developments assiduously
6012,
6013,Women and childrens safety at risk by allowing access to women and childrens safe spaces to self identifying  transgender people/ male to female autogynophiles. The unique experiences and boundries of women being erased due to Trans gender ideology. 
6014,
6015,
6016,
6017,"No way, everything will remain the same."
6018,
6019,
6020,
6021,
6022,
6023,On the example of the Scandinavian countries
6024,
6025,women will have a very great autonomy and especially the londe will understand that the woman is also intelligent. 
