iso3166,gender,race,age,language,progress_10_years_tr
US,,,,,
US,cisgender_woman+woman,white,18 to 24,en,"Equal rights for ALL women, not just white, middle/upper-class, heterosexual, cisgender, non-disabled, born women."
US,non_conforming_or_non_binary+woman,racial_identity_not_listed,55 to 64,,
US,,,,,
UK,,,,,
US,,,,,
US,,,,,
US,,,,,
US,cisgender_woman+woman,white,18 to 24,en,Progress for Women’s rights in 10 years would be being able to see a women be respected while being a leader. I hope to see women actually being listened to.
US,,,,,
US,cisgender_woman+woman,asian+south_asian,18 to 24,en,Every girl given the chance to go to secondary school
US,,,,,
US,woman,choose_not_to_identify,55 to 64,en,Ending planned parenthood
US,,,,,
US,woman,white,75 or older,en,"I’m old, but for my granddaughter, economics and politics will be more balanced.... hopefully."
US,cisgender_woman+woman,white,18 to 24,en,"reproductive freedom, equal pay, no sexual harassment for exposing their bodies"
US,cisgender_woman+woman,white,18 to 24,,
US,woman,white,35 to 44,,
US,woman,white,55 to 64,en,"Safety, equity and individuality "
US,,,,,
AU,woman,white,45 to 54,en,Securing women'`s rights across the world. Rights achieved cannot be taken for granted...
US,woman,white,55 to 64,en,Woman are woman strong proud equal to men but still women 
US,woman,white,18 to 24,en,"Not worrying if our rights will be taken away. And being able to take parental leave without losing a job, or afford to start a family. "
US,cisgender_man,white,18 to 24,en,"Complete legal Reproductive/bodily autonomy rights for women, equal pay, and social inclusion for all gender identities around the woman!"
CH,woman,white,35 to 44,it,I hope to finally reach a paid maternity leave of at least one year (assisted by a parental leave of a further year). I finally hope for equal pay for women and more stable working conditions that are safer and that coincide better with family life (part-time to be divided between work and family not poorly paid part-time to then have a second or third job) I hope to eliminate precariousness and reach a minimum wage for mothers at home. 
KE,woman,black_or_of_african_descent,25 to 34,en,A world where everyone woman anywhere can access quality and affordable reproductive maternal newborn health 
US,,,,,
US,woman,choose_not_to_identify,35 to 44,en,"Complete and factual education of abortion, and hopefully making it illegal in all cases except when the mother’s life is at risk. Factual sex ed about the basics without going into controversial topics. Affordable or free birth control. Equality with men without special preferences or quotas. Women don’t want to just be handed things because they are women. If they are the best, they just want to be fairly recognized and rewarded. No preferential treatment over men. Just equality."
US,woman,white,55 to 64,en,Doing away with women'`s lib.  They fight for rights that only allow them to kill innocent babies and try to fight to be equal to biological males which they will never be equal to.
KE,woman,black_or_of_african_descent,25 to 34,en,"Personally, In the next 10 years, I want a society where women'`s voice matter and women and girls will not have to face any form of harassment or violation. A society where women and youth are empowered and at the centre of decision making on issues affecting them."
IT,,,,,
US,,,,,
NL,,,,,
US,,,,,
MU,cisgender_woman+woman,south_asian,18 to 24,en,"Pay equity is achieved. Access to education is granted despite gender. Sexual harassment rates have dropped. Rape crimes are severely punished. Drastic climate action was taken across the world and oil is no more relevant, hence oil spills do not occur."
US,transgender_man,white,18 to 24,,
US,,,,,
CH,transgender_man,white,25 to 34,en,Women are fully in own power. Like: We do not need to have premission from state to get hysterectomy. 
ZW,,,,,
AU,cisgender_man,white,18 to 24,en,Equal
UK,woman,black_or_of_african_descent,25 to 34,en,Free sanitary wear and subsidised medical care for women related illnesses and issues
ZA,,,,,
ZW,,,,en,"Women who are free to express themselves in the way the dress,talk \r\nWomen who will hold high office positions and overcome obstacles "
ZW,woman,black_or_of_african_descent,18 to 24,en,It might change for the better looking at the number of women who are rising against abuse
ZW,,,,en,
ZW,,,,,
CH,woman,white,25 to 34,de,"Equal pay for equal work\r\nAvery family models possible\r\nPayable childcare places\r\nFair distribution between family and work\r\nNo oppressive role models\r\nNo sexual, physical, psychological violence against women\r\nMore women in management positions\r\n"
ZW,,,,fr,
ZW,woman,choose_not_to_identify,18 to 24,en,
BW,woman,black_or_of_african_descent,25 to 34,en,Better
ZW,,,,en,
ZW,,,,,
UA,woman,black_or_of_african_descent,25 to 34,en,"Freedom of expression not being restricted to certain duties ,women taking more decision making roles and taking influential government positions in cabinet "
ZW,,,,en,
ZW,woman,black_or_of_african_descent,25 to 34,en,Good  
IE,woman,black_or_of_african_descent,35 to 44,en,When it is normal for women to occupy normal jobs previously done by men
TZ,woman,black_or_of_african_descent,25 to 34,en,Very  promising  but education and economic empowerment  need to be emphasised from family level
IE,woman,black_or_of_african_descent,25 to 34,en,More aware society and Equal treatment improved
IE,,,,,
IE,,,,,
IE,woman,white,25 to 34,en,"Globally, a complete end to FGM, bodily autonomy for women in every country, an end to child marriage, countries like Iran which have moved backwards in the last 30 years going back to allowing women the right to express themselves, the right to protection from the state against domestic abuse in countries where this is not a priority. So many other things, the right to go to school and not worry about your period, the right to speak up about sexual abuse and be taken seriously and have faith in the justice system, the ability to work in any sector and not worry about being seen as a liability for the possibility of getting pregnant. "
ZW,woman,black_or_of_african_descent,35 to 44,en,Not sure
IE,woman,black_or_of_african_descent,25 to 34,en,It'`s picking up
ZW,woman,black_or_of_african_descent,25 to 34,en,"As long as we are guided by social and cultural beliefs in Zim particularly, i dont see hope for zim women"
NO,woman,black_or_of_african_descent,25 to 34,en,No need for male endorsement on day to day things like deciding to buy a house 
ZW,woman,choose_not_to_identify,25 to 34,,
DE,woman,white,18 to 24,en,"Same pay, body autonomy, Security, eliminate over-sexualisation "
US,gender_not_listed+non_conforming_or_non_binary+man,asian+biracial_or_mixed+black_or_of_african_descent+hispanic_or_latinx+middle_eastern+native_american+native_hawaiian+north_african+pacific_islander+south_asian+southeast_asian,55 to 64,en,I was abused by my ex-husband. I was sexually harassed by three guys in HS.   I took the bull by the horn and sought counseling.  It’s not the world’s problem to solve.  Put on your big girl panties and help yourself. 
ZW,woman,black_or_of_african_descent,45 to 54,en,A world were women are not viewed as second class citizens where women and women occupy leadership and decision making positions in the public and private sector including institutions of higher learning on an equal basis as men 50-50 without fear or favour.
ZW,woman,black_or_of_african_descent,25 to 34,en,"More women participating in education, health education and economic sectors where the numbers are low. More awareness by girls and women of their sexual and reproductive rights. The most important would be getting more girls into university."
ZW,,,,,
NG,woman,choose_not_to_identify,45 to 54,en,All women would have been free from gender traits 
US,,,,,
ZW,woman,black_or_of_african_descent,25 to 34,en,improved political representation
CH,woman,white,65 to 74,fr,Nurseries will be free of charge. There will be as many women as men in leadership positions. < wages will really be equal
ZW,,,,,
ZW,,,,en,
AE,woman,south_asian,18 to 24,,
US,,,,,
US,,,,,
US,,,,,
UK,cisgender_woman,white,18 to 24,en,"Progress for women’s human rights looks like: Proper LGBTQI+ sex education, equal pay and opportunities, the eradication of homelessness and proper legislation to protect victims of sexual assault."
